Event	ID	Name			Wwise Object Path	Notes
	166862117	Play_R_Boss_ShieldBreak			\Default Work Unit\BOSS\ShieldBreak\Play_R_Boss_ShieldBreak	
	1538231534	Play_R_Boss_Settle			\Default Work Unit\BOSS\Voices\Play_R_Boss_Settle	
	1779048192	Play_R_Boss_Dodge			\Default Work Unit\BOSS\Voices\Play_R_Boss_Dodge	
	1832843239	Play_R_Boss_CanNotDodge			\Default Work Unit\BOSS\Voices\Play_R_Boss_CanNotDodge	
	2434935390	Play_R_Boss_Run			\Default Work Unit\BOSS\Voices\Play_R_Boss_Run	
	2510116948	Laser_End			\Default Work Unit\BOSS\LaserEvent\Laser_End	
	2614099830	Play_R_Boss_Hurt_Normal			\Default Work Unit\BOSS\Voices\Play_R_Boss_Hurt_Normal	
	3217810413	Laser_Start_Release			\Default Work Unit\BOSS\LaserEvent\Laser_Start_Release	
	3428356050	Laser_Start_Trigger			\Default Work Unit\BOSS\LaserEvent\Laser_Start_Trigger	
	3788219053	Play_R_Boss_Hurt_Cat			\Default Work Unit\BOSS\Voices\Play_R_Boss_Hurt_Cat	
	4154444698	Laser_Start_Charge			\Default Work Unit\BOSS\LaserEvent\Laser_Start_Charge	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	294373696	VOX_Boss1_LetSettleThis_02	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_LetSettleThis_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Settle\R_Boss_Settle\VOX_Boss1_LetSettleThis_02		121332
	306717011	VOX_Boss1_StopRunningYouLIttleRats_02	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_StopRunningYouLIttleRats_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Run\R_Boss_Run\VOX_Boss1_StopRunningYouLIttleRats_02		212802
	356233659	VOX_Boss1_Hurt_CatIntonation_02	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_Hurt_CatIntonation_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Hurt\Cat\R_Boss_Hurt_Cat\VOX_Boss1_Hurt_CatIntonation_02		108392
	367974028	VOX_Boss1_DodgeThis_02	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_DodgeThis_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Dodge\R_Boss_Dodge\VOX_Boss1_DodgeThis_02		129740
	404079179	SFX_Boss1_Shield_Break_05	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\SFX_Boss1_Shield_Break_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Shield_Break\R_Boss_ShieldBreak\SFX_Boss1_Shield_Break_05		72736
	428329359	SFX_Boss1_Shield_Break_06	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\SFX_Boss1_Shield_Break_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Shield_Break\R_Boss_ShieldBreak\SFX_Boss1_Shield_Break_06		81240
	463110121	VOX_Boss1_Hurt_NormalIntonation_03	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_Hurt_NormalIntonation_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Hurt\Normal\R_Boss_Hurt_Normal\VOX_Boss1_Hurt_NormalIntonation_03		84484
	504349958	VOX_Boss1_LetSettleThis_01	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_LetSettleThis_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Settle\R_Boss_Settle\VOX_Boss1_LetSettleThis_01		138846
	523821600	SFX_Boss1_LaserBeam_Start_Trigg	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\SFX_Boss1_LaserBeam_Start_Trigg_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Laser\SFX_Boss1_LaserBeam_Start_Trigg		378980
	535052771	SFX_Boss1_LaserBeam_Start_Relase	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\SFX_Boss1_LaserBeam_Start_Relase_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Laser\SFX_Boss1_LaserBeam_Start_Relase		735052
	536544834	VOX_Boss1_DodgeThis_01	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_DodgeThis_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Dodge\R_Boss_Dodge\VOX_Boss1_DodgeThis_01		147872
	603513086	VOX_Boss1_Hurt_NormalIntonation_02	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_Hurt_NormalIntonation_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Hurt\Normal\R_Boss_Hurt_Normal\VOX_Boss1_Hurt_NormalIntonation_02		74188
	676484981	VOX_Boss1_Hurt_NormalIntonation_01	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_Hurt_NormalIntonation_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Hurt\Normal\R_Boss_Hurt_Normal\VOX_Boss1_Hurt_NormalIntonation_01		102464
	701226910	VOX_Boss1_YoureNotGonnaDodgeThisOne_01	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_YoureNotGonnaDodgeThisOne_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\CanNotDodge\R_Boss_CanNotDodge\VOX_Boss1_YoureNotGonnaDodgeThisOne_01		264542
	840706033	VOX_Boss1_YoureNotGonnaDodgeThisOne_03	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_YoureNotGonnaDodgeThisOne_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\CanNotDodge\R_Boss_CanNotDodge\VOX_Boss1_YoureNotGonnaDodgeThisOne_03		221044
	865896433	VOX_Boss1_StopRunningYouLIttleRats_03	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_StopRunningYouLIttleRats_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Run\R_Boss_Run\VOX_Boss1_StopRunningYouLIttleRats_03		220536
	928797627	VOX_Boss1_Hurt_CatIntonation_04	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_Hurt_CatIntonation_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Hurt\Cat\R_Boss_Hurt_Cat\VOX_Boss1_Hurt_CatIntonation_04		115902
	995176860	VOX_Boss1_Hurt_CatIntonation_03	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_Hurt_CatIntonation_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Hurt\Cat\R_Boss_Hurt_Cat\VOX_Boss1_Hurt_CatIntonation_03		111226
	1008383066	VOX_Boss1_YoureNotGonnaDodgeThisOne_02	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_YoureNotGonnaDodgeThisOne_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\CanNotDodge\R_Boss_CanNotDodge\VOX_Boss1_YoureNotGonnaDodgeThisOne_02		196248

